                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                             co_core_mass                             fe_core_mass                   neutron_rich_core_mass                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds                           version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                     msun                                     rsun                                     lsun 
                                     241                                      900                  1.3999999999999999E+000                  2.0000000000000000E-002                  2.4737692768102703E+009                  2.4721026017954413E+007                  6.1919938125729259E+003                  4.7748112766953685E+000                  1.8987607203753258E+000                 -2.2673225124287990E+000                  7.5871107998753629E-002                  2.9996467181164730E-008                  9.0448447330525383E-001                  7.3921259385074155E-005                  1.1369866747529793E-002                  2.0383544394797009E-003                  2.0850244238750882E-003                  1.3999999999999997E+000                  0.0000000000000000E+000                  8.7645247602362286E-001                  6.9213202297185828E-004                  4.9464727120791724E-001                  2.9491709664289240E-003                  4.3360546757934904E-003                  1.2295750348882355E-002                  2.9190341934250564E-003                  9.5205543925240027E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.2130865404475819E+004                  5.0910871311413813E+006                  2.9320530569093719E+009                  4.7793916645298964E+000                  4.7793916645298973E+000                  1.5749393610991317E-035                  2.8710012503574056E-001                  5.0000000000000000E+001                  1.0000000000000000E+003                  7.8066221329867792E+016                               "r24.08.1"                               "gfortran"                                 "12.2.0"                  "aarch64-macos-22.10.1"                                 "CRMATH"                               "20250501"                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals                                       pp                                      cno                                tri_alpha 
                                       1                  1.3999999999999997E+000                  2.7847023889807360E-001                  3.7919925429680261E+000                 -7.2404865001015244E+000                  4.3557300207944323E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                  8.4322200921065557E-027                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       2                  1.3999999999985999E+000                  2.7846951275992182E-001                  3.7923583700976553E+000                 -7.2379525961047371E+000                  4.3586317230096645E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                  8.4815733678527774E-027                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       3                  1.3999999999968500E+000                  2.7846861036257881E-001                  3.7927686130488056E+000                 -7.2351635333331625E+000                  4.3618332866045524E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                  8.5362304762927960E-027                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       4                  1.3999999999950998E+000                  2.7846771373634233E-001                  3.7933895235748620E+000                 -7.2310293861444856E+000                  4.3665918485440631E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                  8.6178958590040211E-027                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       5                  1.3999999999916000E+000                  2.7846593745685200E-001                  3.7942330423901907E+000                 -7.2256130369144769E+000                  4.3728566640611186E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                  8.7260733286033165E-027                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       6                  1.3999999999880999E+000                  2.7846418317145555E-001                  3.7956286365303860E+000                 -7.2170256387852190E+000                  4.3828482551805701E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                  8.9003745216661989E-027                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       7                  1.3999999999802251E+000                  2.7846031323526715E-001                  3.7971978709019161E+000                 -7.2080957402105259E+000                  4.3933577838157829E+000                  7.0000000000000007E-001                  2.7999999999999997E-001                  2.0000000000000018E-002                  9.0853216627530155E-027                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       8                  1.3999999999758499E+000                  2.7845820698309931E-001                  3.7989172453387994E+000                 -7.1988420638938280E+000                  4.4043429481671872E+000                  6.9999999904804711E-001                  2.8000000095195293E-001                  2.0000000000000018E-002                  9.2810307352427704E-027                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       9                  1.3999999999670998E+000                  2.7845408319796111E-001                  3.8007228314638937E+000                 -7.1899468034785698E+000                  4.4150574938874998E+000                  6.9999999904804711E-001                  2.8000000095195293E-001                  2.0000000000000018E-002                  9.4731330107416566E-027                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      10                  1.3999999999627251E+000                  2.7845206306484005E-001                  3.8022623946206711E+000                 -7.1827673770812099E+000                  4.4237888429217529E+000                  6.9999999904804711E-001                  2.8000000095195293E-001                  2.0000000000000018E-002                  9.6310763176466853E-027                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      11                  1.3999999999561628E+000                  2.7844908249486167E-001                  3.8054534482619737E+000                 -7.1690326042470991E+000                  4.4407423892953100E+000                  6.9999999904804711E-001                  2.8000000095195299E-001                  1.9999999999999907E-002                  9.9406094151906941E-027                  0.0000000000000000E+000                  0.0000000000000000E+000 
